Sample.ID,Sex,Batch,WBC,NEUT
JAXW202.2129,F,13,4.34,598.052
JAXW202.2130,F,13,4.84,1001.88
JAXW202.2132,F,13,6.28,1073.88
JAXW202.2133,F,13,4.72,1093.152
JAXW202.2134,F,13,3.12,313.872
JAXW202.2135,F,13,4.8,988.8
JAXW202.2136,F,13,6.68,1005.34
JAXW202.2137,F,13,6.12,599.76
JAXW202.2138,F,13,3.7,530.21
JAXW202.2139,F,13,6.76,702.364
JAXW202.2141,F,13,8.62,1604.182
JAXW202.2142,F,13,5.2,1792.96
JAXW202.2144,F,13,6.66,1429.902
JAXW202.2145,F,13,6.12,1021.428
JAXW202.2146,F,13,8.26,1371.16
JAXW202.2147,F,13,6.32,1261.472
JAXW202.2148,F,13,9.66,1527.246
JAXW202.2149,F,13,5,895
JAXW202.2150,F,13,4.3,865.16
JAXW202.2151,F,13,6.36,1485.696
JAXW202.2152,F,13,4.16,666.432
JAXW202.2153,F,13,2.4,654.48
JAXW202.2154,F,13,3.92,723.632
JAXW202.2155,F,13,3.12,561.6
JAXW202.2156,F,13,7.78,1159.998
JAXW202.2157,F,13,5.24,843.64
JAXW202.2158,F,13,11.38,1590.924
JAXW202.2159,F,13,5.38,555.216
JAXW202.2161,F,13,4,446.8
JAXW202.2162,F,13,6.48,863.136
JAXW202.2163,F,13,5.14,408.116
JAXW202.2164,F,13,10.8,1338.12
JAXW202.2165,F,13,9.6,518.4
JAXW202.2166,F,13,7.64,802.2
JAXW202.2167,F,13,6.26,1100.508
JAXW202.2168,F,13,5.24,517.712
JAXW202.2169,F,13,9.78,785.334
JAXW202.2170,F,13,9.56,2704.524
JAXW202.2171,F,13,8.56,1241.2
JAXW202.2172,F,13,6.76,1059.292
JAXW202.2173,F,13,7.58,1324.226
JAXW202.2174,F,13,4,1056.8
JAXW202.2175,F,13,12.56,1679.272
JAXW202.2176,F,13,6.98,2152.632
JAXW202.2177,F,13,6.78,871.908
JAXW202.2178,F,13,3.72,649.884
JAXW202.2179,F,13,4.56,1136.808
JAXW202.2180,F,13,6.84,789.336
JAXW202.2181,F,13,2.62,516.926
JAXW202.2182,F,13,3.16,753.976
JAXW202.2183,F,13,4.18,505.362
JAXW202.2184,F,13,2.8,331.24
